"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\package-lock.json", "JSON", 29569, 0, 0, 0, 0, 0, 1, 29570
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\package.json", "JSON", 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\App.css", "CSS", 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\App.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\Header\Header.css", "CSS", 0, 0, 126, 0, 0, 0, 26, 152
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\Header\Header.js", "JavaScript", 0, 52, 0, 0, 0, 0, 3, 55
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\Home\Home.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\Home\Home.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\MidContent\MidContent.css", "CSS", 0, 0, 49, 0, 0, 0, 10, 59
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\components\MidContent\MidContent.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\client\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\cortex\Documents\cort3x\github repos\react-apps\pansion-villa-anja\server\package.json", "JSON", 12, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 29649, 95, 187, 38, 20, 23, 89, 30101